"section","ordinal","kind","caption","verification","source"
"В.1","29","hint","(за наявності відхилень вказується, з ким і як погоджені, номер креслень і дата погодження) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","30","text","5. Дата: початку робіт  ___________________________________  ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.1","31","text","закінчення робіт _________________________________  ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","32","text","В.2 Форма останньої сторінки ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","33","text","Рішення ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","34","text","Роботи виконані відповідно до проектної документації, стандартів, будівельних норм і правил, технічних ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","35","text","умов і відповідають вимогам їх прийняття. ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","36","text","На основі викладеного дозволяється виконання наступних робіт ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","37","rule","____________________________________________________________________________________________ ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","38","rule","____________________________________________________________________________________________ ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","39","hint","(найменування робіт і конструкцій) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","40","text","Представник будівельної організації ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","41","text","Представник технічного нагляду ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","42","text","замовника ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","43","text","Представник проектної організації ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","44","hint","(підпис) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","45","hint","(Прізвище, ім’я, по батькові) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","46","hint","(підпис) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","47","hint","(Прізвище, ім’я, по батькові) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","48","hint","(підпис) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","49","hint","(Прізвище, ім’я, по батькові) ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","50","text","Примітка. Керівник генпідрядної організації не пізніше ніж за 5 робочих днів інформує учасників про дату і ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
"В.2","51","text","місце проведення роботи. ","VERIFIED_PRIMARY","ДБН А.3.1-5:2016, Додаток В (обов'язковий), с. 33-34; офіційний файл sha256=4592edafaa8097d3b9305b7934d080256d649616a2741b6a5537a28606a665e3; чинність редакції підтверджена власником 2026-08-10"
